addr,name,subsystem,conf,size,ninsn,callers,purpose
0x020000c4,nullsub_1,SYS,low,2,1,0,"empty stub, returns immediately"
0x020000c6,boot_hwinfo_save,SYS,high,50,17,0,copy boot parameter struct into hwinfo globals
0x020000f8,pll_clock_init,SYS,high,410,131,0,program PLL SFRs and switch system clock tree
0x02000292,fatal_assert_halt,SYS,high,16,6,0,signal fault via ROM then hang forever
0x020002a2,irq_c_dispatch,RTOS,high,556,185,0,"scan pending IRQ bits, dispatch handlers, wake tasks"
0x020004ce,tick_irq_disable,RTOS,med,20,6,0,clear tick-timer IRQ enable bit for current core
0x020004e2,saradc_osa_irq_handlers,PERIPH,med,88,27,0,tick IRQ enable; OSA and SARADC interrupt handlers
0x0200053a,adc_channel_scan,INPUT,high,372,122,0,round-robin SARADC channel scan with timeout state machine
0x020006ae,cbuf_write,RTOS,high,250,90,0,spinlocked circular buffer write with wraparound memmove
0x020007a8,cbuf_init,RTOS,high,26,12,0,initialize circular buffer pointers and length
0x020007c2,cbuf_clear,RTOS,high,120,44,0,reset circular buffer under per-core spinlock
0x0200083a,tick_count_x10_get,RTOS,med,14,4,0,return global tick counter scaled by ten
0x02000848,rom_api_f94_128,SYS,low,14,5,0,wrapper: invoke ROM service 0xC00F94 with id 128
0x02000856,midi_ctrl_packet_dispatch,MIDI,med,52,17,0,subscribe event; route 4-byte 0xD0/0xD4 control packets
0x0200088a,midi_slot_is_active,MIDI,med,18,6,0,test whether MIDI engine slot is active
0x0200089c,midi_slot_find,MIDI,med,20,7,0,find MIDI engine slot index or return -1
0x020008b0,midi_device_info_send,MIDI,med,226,80,0,build and send device-info packet from templates
0x02000992,midi_engine_reset,MIDI,med,90,25,0,"reset MIDI engine slot list, emit notification"
0x020009ec,midi_slot_match,MIDI,med,22,7,0,"match slot against value, return 0 or -1"
0x02000a02,midi_control_cmd_dispatch,MIDI,med,536,188,0,"dispatch control subcommands, update slot states, build replies"
0x02000c1a,midi_msg_prefilter,MIDI,med,46,16,0,pre-filter 4-byte messages before command dispatcher
0x02000c48,midi_stream_parser,MIDI,high,2614,841,0,"MIDI byte-stream parser: running status, sysex, routing, replies"
0x0200167e,irq_master_disable,RTOS,high,12,4,0,clear icfg interrupt-enable bit
0x0200168a,irq_master_enable,RTOS,high,12,4,0,set icfg interrupt-enable bit
0x02001696,irq_mask_arrays_clear,RTOS,high,60,21,0,zero per-core interrupt enable arrays
0x020016d2,request_irq,RTOS,high,134,47,0,install IRQ handler with priority and CPU routing
0x02001758,cpu_link_irq_init,SYS,med,512,177,0,"register core IRQs, program per-core control SFRs and buffers"
0x02001958,percpu_buf_ptr_get,PERIPH,low,24,6,0,return per-core buffer/state pointer
0x02001970,rom_api_f2e_128,SYS,low,14,5,0,wrapper: invoke ROM service 0xC00F2E with id 128
0x0200197e,clk_get,SYS,high,226,68,0,get clock frequency by name via string table
