addr,size,ninsn,ncallers,ncallees,nstr,first_str
0x020000a0,36,8,0,1,0,""
0x020000c4,2,1,1,0,0,""
0x020000c6,50,17,0,1,0,""
0x020000f8,410,131,0,1,0,""
0x02000292,16,6,149,0,0,""
0x020002a2,556,185,1,1,0,""
0x020004ce,20,6,1,0,0,""
0x020004e2,88,27,1,0,0,""
0x0200053a,372,122,1,1,0,""
0x020006ae,250,90,3,1,0,""
0x020007a8,26,12,4,0,0,""
0x020007c2,120,44,2,0,0,""
0x0200083a,14,4,7,0,0,""
0x02000848,14,5,2,0,0,""
0x02000856,52,17,5,4,0,""
0x0200088a,18,6,2,0,0,""
0x0200089c,20,7,2,0,0,""
0x020008b0,226,80,3,2,0,""
0x02000992,90,25,1,1,0,""
0x020009ec,22,7,1,0,0,""
0x02000a02,536,188,1,9,0,""
0x02000c1a,46,16,1,1,0,""
0x02000c48,2614,841,3,8,0,""
0x0200167e,12,4,3,0,0,""
0x0200168a,12,4,3,0,0,""
0x02001696,60,21,1,2,0,""
0x020016d2,134,47,18,2,0,""
0x02001758,512,177,1,1,0,""
0x02001958,24,6,1,0,0,""
0x02001970,14,5,1,0,0,""
0x0200197e,226,68,13,1,1,"uart"
0x02001a60,20,7,1,1,0,""
0x02001a74,60,22,3,1,0,""
0x02001ab0,1194,368,8,16,0,""
0x02001f5a,32,10,1,1,0,""
0x02001f7a,46,17,1,0,0,""
0x02001fa8,192,59,3,1,0,""
0x02002068,56,16,1,0,0,""
0x020020a0,62,19,4,0,0,""
0x020020de,118,37,5,1,0,""
0x02002154,12,5,2,0,0,""
0x02002160,110,34,2,1,0,""
0x020021ce,46,14,2,1,0,""
0x020021fc,492,166,3,6,0,""
0x020023e8,16,7,4,1,0,""
0x020023f8,482,170,2,4,0,""
0x020025da,56,19,25,2,0,""
0x02002612,150,55,11,1,0,""
0x020026a8,38,16,1,0,0,""
0x020026ce,108,39,1,1,0,""
0x0200273a,1134,355,1,0,0,""
0x02002ba8,1360,470,1,4,0,""
0x020030f8,22,10,3,1,0,""
0x0200310e,232,77,1,4,0,""
0x020031f6,26,7,1,0,0,""
0x02003210,44,13,2,2,0,""
0x0200323c,124,39,1,5,0,""
0x020032b8,60,24,11,0,0,""
0x020032f4,174,57,3,4,0,""
0x020033a2,34,9,2,1,0,""
0x020033c4,524,179,3,6,0,""
0x020035d0,20,9,3,0,0,""
0x020035e4,16,8,15,0,0,""
0x020035f4,286,103,3,5,0,""
0x02003712,26,8,10,0,0,""
0x0200372c,136,45,4,2,0,""
0x020037b4,20,9,13,1,0,""
0x020037c8,66,30,5,0,0,""
0x0200380a,152,45,3,4,0,""
0x020038a2,20,9,11,1,0,""
0x020038b6,38,13,1,0,0,""
0x020038dc,16,5,1,0,0,""
0x020038ec,24,8,8,0,0,""
0x02003904,186,60,14,3,0,""
0x020039be,38,13,3,0,0,""
0x020039e4,94,31,1,0,0,""
0x02003a42,16,5,1,0,0,""
0x02003a52,76,25,2,0,0,""
0x02003a9e,180,63,8,5,0,""
0x02003b52,42,13,1,0,0,""
0x02003b7c,214,76,1,4,0,""
0x02003c52,42,13,2,0,0,""
0x02003c7c,146,49,8,3,0,""
0x02003d0e,66,22,1,0,0,""
0x02003d50,16,5,1,0,0,""
0x02003d60,188,60,10,3,0,""
0x02003e1c,84,29,1,0,0,""
0x02003e70,16,5,1,0,0,""
0x02003e80,188,60,8,3,0,""
0x02003f3c,32,13,2,4,0,""
0x02003f5c,28,9,1,0,0,""
0x02003f78,156,53,6,5,0,""
0x02004014,34,14,1,4,0,""
0x02004036,34,14,5,2,0,""
0x02004058,34,14,1,4,0,""
0x0200407a,260,78,2,0,0,""
0x0200417e,1020,326,1,18,0,""
0x0200457a,3684,1186,0,48,0,""
0x020053de,60,21,0,1,0,""
0x0200541a,30,10,3,0,0,""
0x02005438,200,75,2,4,0,""
0x02005500,146,60,3,2,0,""
0x02005592,6,2,5,0,0,""
