address,call_count,has_prologue,first_insn
0x02007a20,261,1,"push {0xf}"
0x020847da,115,1,"push rets"
0x0201e724,99,0,"<undecoded>"
0x0208478a,82,1,"push rets"
0x0203560c,73,1,"push {0x4}"
0x02012c54,66,1,"push {0x5}"
0x02000292,63,0,"mov r0,#0xa0"
0x0200843c,61,1,"push {0x7}"
0x02007e50,49,1,"push {0x4}"
0x0200e1d4,46,0,"movz r1,#0x168"
0x020080d4,42,1,"push rets"
0x020085ae,41,1,"push {0x7}"
0x020174ec,38,1,"push {0x8}"
0x02003904,37,1,"push {0x5}"
0x02028fdc,36,0,"lb.z r1,[r0 + 0x3]"
0x020856c8,36,0,"mov r1,#0x13e08"
0x020079c2,35,1,"push {0x6}"
0x020292ba,35,1,"push {0x6}"
0x020035e4,34,1,"push rets"
0x0202970a,34,0,"sb r1,[r0 + 0x0]"
0x02008966,33,1,"push {0x5}"
0x02012e96,33,1,"push {0xb}"
0x02018c84,32,1,"push {0x5}"
0x0205ec50,31,1,"push {0x7}"
0x02018c4e,30,1,"push {0x6}"
0x020292fc,30,1,"push {0x8}"
0x02017f22,29,1,"push {0x7}"
0x02018ae8,29,0,"<undecoded>"
0x02029f28,29,1,"push {0x4}"
0x02018c9c,28,1,"push {0x5}"
0x02003d60,27,1,"push {0x5}"
0x020199b8,27,1,"push {0x6}"
0x020016d2,26,1,"push {0x5}"
0x020025da,25,1,"push {0x6}"
0x02003c7c,25,1,"push {0x4}"
0x0200bbf4,25,1,"push {0x4}"
0x020199a0,25,1,"push rets"
0x020199ac,25,1,"push rets"
0x02083b72,25,1,"push {0x4}"
0x02003e80,24,1,"push {0x5}"
0x020188be,24,0,"add r0,r1"
0x02019ace,24,1,"push {0x6}"
0x02019e6a,24,1,"push {0x4}"
0x02083b42,24,1,"push {0x4}"
0x020080ac,23,1,"push {0x4}"
0x0200912e,23,1,"push {0x9}"
0x020188a0,23,0,"<undecoded>"
0x02076a12,23,1,"push {0x5}"
0x0208151e,23,1,"push {0x5}"
0x020037b4,22,1,"push {0x4}"
0x02012c84,22,1,"push {0x7}"
0x0206db14,22,0,"mov r0,#0x2001c"
0x0208140e,22,1,"push {0xf}"
0x02009824,21,0,"movz r2,#0x361"
0x02083b00,21,0,"mov r2,#0x3101c"
0x02018be2,20,1,"push rets"
0x02018cd0,20,1,"push rets"
