address,call_count,has_prologue,first_insn
0x01c0d226,42,1,"push {0x6}"
0x01c0ffb2,38,0,"mov r1,#0x500c0"
0x01c1007e,31,0,"<undecoded>"
0x01c0abea,26,1,"push {0x5}"
0x01c0b268,26,0,"<undecoded>"
0x01c0d622,25,1,"push {0x5}"
0x01c0acd2,21,0,"mov r0,#0x80"
0x01c0d1ee,21,1,"push {0x4}"
0x01c0a902,19,0,"mov r2,#0x13500"
0x01c0b1c8,18,0,"<undecoded>"
0x01c0d2e8,17,1,"push {0x4}"
0x01c0fbf0,16,1,"push {0x9}"
0x01c0b8c2,15,1,"push {0xd}"
0x01c0b57e,14,1,"push rets"
0x01c0b840,13,1,"push rets"
0x01c0a88c,12,0,"mov r1,#0x13e08"
0x01c0fc6c,11,1,"push {0x4}"
0x01c0fdb4,11,0,"mov r0,#0x1c115cc"
0x01c0fdfe,11,1,"push {0x8}"
0x01c0fe6a,11,1,"push {0x7}"
0x01c0aa2a,10,1,"push rets"
0x01c0b84c,10,1,"push rets"
0x01c0b364,9,1,"push {0x5}"
0x01c0b5da,9,0,"mov r1,r0"
0x01c0fabc,9,1,"push {0x8}"
0x01c0d3b4,8,0,"mov r1,r0"
0x01c0ac2a,7,0,"mov r1,r0"
0x01c10094,7,0,"<undecoded>"
0x01c0b95c,6,1,"push {0x9}"
0x01c0c4e2,6,1,"push {0x7}"
0x01c0dc24,6,1,"push {0xd}"
0x01c0a8a8,5,1,"push {0x5}"
0x01c0afd6,5,0,"goto 0x01c0af50"
0x01c0b926,5,1,"push {0x7}"
0x01c0c02e,5,0,"sb r1,[r0 + 0x1]"
0x01c0c110,5,1,"push {0x5}"
0x01c0d314,5,1,"push {0x7}"
0x01c0dace,5,1,"push rets"
0x01c0db22,5,1,"push {0xa}"
0x01c0a9c8,4,1,"push {0x5}"
0x01c0b61c,4,1,"push {0x5}"
0x01c0c032,4,1,"push {0x5}"
0x01c0c8d4,4,1,"push {0x4}"
0x01c0c99a,4,1,"push {0x5}"
0x01c0ca1a,4,0,"<undecoded>"
0x01c0d83a,4,1,"push {0xa}"
0x01c0de26,4,0,"<undecoded>"
0x01c0f9b8,4,1,"push rets"
0x01c0fa8e,4,1,"push rets"
0x01c0a966,3,1,"push {0x4}"
0x01c0aa88,3,1,"push {0x5}"
0x01c0ab66,3,0,"mov r0,#0xa0"
0x01c0ab72,3,0,"sw r0,[r0 + 0x0]"
0x01c0abca,3,0,"goto 0x01c0ab88"
0x01c0ace6,3,1,"push {0x5}"
0x01c0ae2e,3,1,"push rets"
0x01c0af48,3,0,"mov r2,r0"
0x01c0b584,3,0,"mov r2,#0x0"
0x01c0bac2,3,1,"push {0x8}"
0x01c0c95a,3,1,"push {0x4}"
0x01c0d766,3,1,"push {0x8}"
0x01c0d8ac,3,1,"push {0x9}"
0x01c0f9ce,3,1,"push {0x5}"
0x01c0fdce,3,1,"push {0x6}"
0x01c0ff8c,3,0,"mov r1,#0x1c102ec"
0x01c0a91e,2,1,"push {0x4}"
0x01c0aaea,2,1,"push {0x4}"
0x01c0ab32,2,0,"goto 0x01c0ab1e"
0x01c0ab78,2,0,"sw r0,[r2 + 0x4]"
0x01c0ab82,2,0,"mov r2,r1"
0x01c0acd8,2,0,"mov r0,#0x1c7fd88"
0x01c0ad06,2,0,"mov r0,#0x1c10374"
0x01c0aeaa,2,1,"push {0x5}"
0x01c0afd8,2,0,"goto 0x01c0ab66"
0x01c0b038,2,1,"push {0x8}"
0x01c0b232,2,1,"push {0x4}"
0x01c0b29e,2,1,"push {0x4}"
0x01c0b2ec,2,1,"push {0x4}"
0x01c0b522,2,0,"mov r0,#0x1c103c0"
0x01c0b5e0,2,1,"push {0x5}"
0x01c0b66a,2,1,"push {0x5}"
0x01c0b77e,2,1,"push {0x4}"
0x01c0b7a2,2,1,"push {0x5}"
0x01c0b85e,2,1,"push {0x4}"
0x01c0b894,2,1,"push {0x4}"
0x01c0ba86,2,0,"goto 0x01c0b9f8"
0x01c0ba88,2,1,"push {0x4}"
0x01c0bc10,2,1,"push {0x5}"
0x01c0bd76,2,0,"goto 0x01c0ab66"
0x01c0bf2e,2,0,"mov r0,#0x0"
0x01c0bf4c,2,0,"goto 0x01c0ab66"
0x01c0c02c,2,0,"rts"
0x01c0c0de,2,1,"push {0x5}"
0x01c0c160,2,1,"push {0x8}"
0x01c0c346,2,1,"push {0x5}"
0x01c0cf9e,2,1,"push {0x9}"
0x01c0d69c,2,1,"push {0xd}"
0x01c0d9fe,2,1,"push {0x5}"
0x01c0da52,2,1,"push {0x4}"
0x01c0dd82,2,1,"push {0x8}"
