addr,size,ninsn,ncallers,ncallees,nstr,first_str
0x01c02000,88,24,0,0,0,""
0x01c02058,28,11,5,0,0,""
0x01c02074,66,24,1,1,0,""
0x01c020b6,14,4,1,0,0,""
0x01c020c4,20,10,2,0,0,""
0x01c020d8,38,16,1,0,0,""
0x01c020fe,46,15,1,0,0,""
0x01c0212c,2,1,3,0,0,""
0x01c0212e,104,43,2,1,0,""
0x01c02196,154,63,1,2,0,""
0x01c02230,322,133,11,4,0,""
0x01c02372,22,10,1,0,0,""
0x01c02388,16,5,1,0,0,""
0x01c02398,168,55,5,2,0,""
0x01c02440,104,40,1,5,0,""
0x01c024a8,196,74,1,1,0,""
0x01c0256c,40,12,1,0,0,""
0x01c02594,118,41,3,2,0,""
0x01c0260a,54,16,4,1,0,""
0x01c02640,252,84,1,1,0,""
0x01c0273c,84,26,2,0,0,""
0x01c02790,78,24,3,0,0,""
0x01c027de,32,14,1,1,0,""
0x01c027fe,30,12,2,0,0,""
0x01c0281c,28,10,1,1,0,""
0x01c02838,30,11,1,1,0,""
0x01c02856,60,20,6,1,0,""
0x01c02892,78,24,2,0,0,""
0x01c028e0,30,10,3,0,0,""
0x01c028fe,76,26,2,0,0,""
0x01c0294a,130,45,1,3,0,""
0x01c029cc,150,50,1,5,0,""
0x01c02a62,88,38,1,0,0,""
0x01c02aba,164,69,1,2,0,""
0x01c02b5e,80,25,1,0,0,""
0x01c02bae,308,94,2,1,0,""
0x01c02ce2,86,26,1,0,0,""
0x01c02d38,876,321,1,1,0,""
0x01c030a4,32,10,6,0,0,""
0x01c030c4,26,10,3,0,0,""
0x01c030de,12,4,7,0,0,""
0x01c030ea,22,8,4,1,0,""
0x01c03100,16,8,1,2,0,""
0x01c03110,32,14,1,4,0,""
0x01c03130,42,15,2,1,0,""
0x01c0315a,38,19,1,4,0,""
0x01c03180,1178,344,1,8,0,""
0x01c0361a,116,39,1,1,0,""
0x01c0368e,82,26,1,1,0,""
0x01c036e0,382,141,7,7,0,""
0x01c0385e,184,62,2,3,0,""
0x01c03916,18,5,1,0,0,""
0x01c03928,130,48,2,5,1,"usb_update_mode"
0x01c039aa,18,5,2,0,0,""
0x01c039bc,26,11,2,1,0,""
0x01c039d6,392,130,1,8,0,""
0x01c03b5e,6842,2074,1,32,1,"SDRAM_WLCNT"
0x01c05618,44,13,1,0,0,""
0x01c05644,78,26,1,3,0,""
0x01c05692,46,18,1,1,0,""
0x01c056c0,2624,848,0,22,1,"sdram_phase=%d"
0x01c06100,56,21,1,0,0,""
0x01c06138,160,58,5,0,0,""
0x01c061d8,12,6,2,0,0,""
0x01c061e4,196,75,3,0,0,""
0x01c062a8,4168,1958,1,0,0,""
