addr,size,ninsn,ncallers,ncallees,nstr,first_str
0x01c02000,88,25,0,0,0,""
0x01c02058,28,11,4,0,0,""
0x01c02074,66,24,1,1,0,""
0x01c020b6,14,4,1,0,0,""
0x01c020c4,20,10,1,0,0,""
0x01c020d8,88,34,1,3,0,""
0x01c02130,196,74,1,1,0,""
0x01c021f4,40,12,1,0,0,""
0x01c0221c,118,41,2,2,0,""
0x01c02292,54,16,4,1,1,"uart"
0x01c022c8,252,84,1,1,0,""
0x01c023c4,84,26,2,0,0,""
0x01c02418,78,24,3,0,0,""
0x01c02466,32,14,1,1,0,""
0x01c02486,22,10,1,0,0,""
0x01c0249c,30,12,2,0,0,""
0x01c024ba,28,10,1,1,0,""
0x01c024d6,30,11,1,1,0,""
0x01c024f4,78,24,1,0,0,""
0x01c02542,30,10,3,0,0,""
0x01c02560,76,26,2,0,0,""
0x01c025ac,116,42,1,2,0,""
0x01c02620,110,42,1,3,0,""
0x01c0268e,88,38,1,0,0,""
0x01c026e6,164,69,1,2,0,""
0x01c0278a,80,25,1,0,0,""
0x01c027da,308,94,1,1,0,""
0x01c0290e,86,26,1,0,0,""
0x01c02964,850,313,1,0,0,""
0x01c02cb6,32,10,5,0,0,""
0x01c02cd6,26,10,3,0,0,""
0x01c02cf0,12,4,6,0,0,""
0x01c02cfc,22,8,3,1,0,""
0x01c02d12,16,8,1,2,0,""
0x01c02d22,32,14,1,4,0,""
0x01c02d42,594,183,1,5,0,""
0x01c02f94,48,15,1,1,0,""
0x01c02fc4,116,39,1,1,0,""
0x01c03038,82,26,1,1,0,""
0x01c0308a,334,130,6,6,0,""
0x01c031d8,184,62,1,3,0,""
0x01c03290,18,5,1,0,0,""
0x01c032a2,82,33,2,3,0,""
0x01c032f4,18,5,2,0,0,""
0x01c03306,26,11,2,1,0,""
0x01c03320,254,90,1,5,0,""
0x01c0341e,42,13,1,0,0,""
0x01c03448,54,19,1,1,0,""
0x01c0347e,46,18,1,1,0,""
0x01c034ac,7824,2464,0,39,0,""
0x01c0533c,56,21,1,0,0,""
0x01c05374,160,58,4,0,0,""
0x01c05414,12,6,2,0,0,""
0x01c05420,196,75,2,0,0,""
0x01c054e4,830,358,1,0,0,""
