address,name,body_bytes,instr_count
0x020000f8,FUN_020000f8,8,2
0x02000292,FUN_02000292,8,4
0x0200053a,FUN_0200053a,10,5
0x020006ae,FUN_020006ae,20,10
0x020007a8,FUN_020007a8,12,6
0x020007c2,FUN_020007c2,4,2
0x0200083a,FUN_0200083a,8,2
0x02000848,FUN_02000848,6,3
0x02000856,FUN_02000856,8,4
0x0200088a,FUN_0200088a,6,1
0x0200089c,FUN_0200089c,6,1
0x020008b0,FUN_020008b0,10,3
0x02000992,FUN_02000992,12,3
0x020009ec,FUN_020009ec,6,1
0x02000a02,FUN_02000a02,6,3
0x02000c48,FUN_02000c48,2,1
0x02001020,FUN_02001020,2,1
0x0200167e,FUN_0200167e,1,0
0x0200168a,FUN_0200168a,1,0
0x02001696,FUN_02001696,4,2
0x020016d2,FUN_020016d2,12,4
0x02001758,FUN_02001758,2,1
0x02001958,FUN_02001958,1,0
0x02001970,FUN_02001970,6,3
0x0200197e,FUN_0200197e,10,3
0x02001a60,FUN_02001a60,20,7
0x02001a74,FUN_02001a74,26,11
0x02001ab0,FUN_02001ab0,26,13
0x02001f5a,FUN_02001f5a,8,2
0x02001f7a,FUN_02001f7a,16,6
0x02001fa8,FUN_02001fa8,8,2
0x02002068,FUN_02002068,10,2
0x020020a0,FUN_020020a0,8,2
0x020020de,FUN_020020de,16,5
0x02002154,FUN_02002154,4,2
0x02002160,FUN_02002160,12,3
0x020021ce,FUN_020021ce,12,3
0x020021fc,FUN_020021fc,4,2
0x020023e8,FUN_020023e8,6,3
0x020023f8,FUN_020023f8,2,1
0x020025da,FUN_020025da,14,5
0x02002612,FUN_02002612,8,4
0x020026a8,FUN_020026a8,12,6
0x020026ce,FUN_020026ce,4,2
0x0200273a,FUN_0200273a,4,2
0x020028f6,FUN_020028f6,1,0
0x02002ba8,FUN_02002ba8,4,2
0x020030f8,FUN_020030f8,8,4
0x0200310e,FUN_0200310e,14,7
0x020031f6,FUN_020031f6,6,1
0x02003210,FUN_02003210,6,2
0x0200323c,FUN_0200323c,8,2
0x0200329e,FUN_0200329e,1,0
0x020032b8,FUN_020032b8,22,7
0x020032f4,FUN_020032f4,26,8
0x020033a2,FUN_020033a2,8,2
0x020033c4,FUN_020033c4,8,4
0x020035d0,FUN_020035d0,10,5
0x020035e4,FUN_020035e4,12,6
0x020035f4,FUN_020035f4,8,4
0x02003712,FUN_02003712,12,3
0x0200372c,FUN_0200372c,8,2
0x020037b4,FUN_020037b4,10,5
0x020037c8,FUN_020037c8,44,21
0x0200380a,FUN_0200380a,8,2
0x020038a2,FUN_020038a2,10,5
0x020038b6,FUN_020038b6,1,0
0x020038dc,FUN_020038dc,2,1
0x020038ec,FUN_020038ec,2,1
0x02003904,FUN_02003904,6,3
0x020039be,FUN_020039be,1,0
0x020039e4,FUN_020039e4,1,0
0x02003a42,FUN_02003a42,2,1
