addr,size,ninsn,ncallers,ncallees,nstr,first_str
0x020000a0,36,8,0,1,0,""
0x020000c4,2,1,1,0,0,""
0x020000c6,50,17,0,1,0,""
0x020000f8,410,131,0,1,0,""
0x02000292,16,6,149,0,0,""
0x020002a2,556,185,1,1,0,""
0x020004ce,20,6,1,0,0,""
0x020004e2,88,27,1,0,0,""
0x0200053a,372,122,1,1,0,""
0x020006ae,250,90,3,1,0,""
0x020007a8,26,12,4,0,0,""
0x020007c2,120,44,2,0,0,""
0x0200083a,14,4,7,0,0,""
0x02000848,14,5,2,0,0,""
0x02000856,52,17,5,4,0,""
0x0200088a,18,6,2,0,0,""
0x0200089c,20,7,2,0,0,""
0x020008b0,226,80,3,2,0,""
0x02000992,90,25,1,1,0,""
0x020009ec,22,7,1,0,0,""
0x02000a02,536,188,1,9,0,""
0x02000c1a,46,16,1,1,0,""
0x02000c48,2614,841,3,8,0,""
0x0200167e,12,4,3,0,0,""
0x0200168a,12,4,3,0,0,""
0x02001696,60,21,1,2,0,""
0x020016d2,134,47,18,2,0,""
0x02001758,512,177,1,1,0,""
0x02001958,24,6,1,0,0,""
0x02001970,14,5,1,0,0,""
0x0200197e,226,68,13,1,1,"%02d"
0x02001a60,20,7,1,1,0,""
0x02001a74,60,22,3,1,0,""
0x02001ab0,1194,368,8,16,0,""
0x02001f5a,32,10,1,1,0,""
0x02001f7a,46,17,1,0,0,""
0x02001fa8,192,59,3,1,0,""
0x02002068,56,16,1,0,0,""
0x020020a0,62,19,4,0,0,""
0x020020de,120,38,5,1,0,""
0x02002156,12,5,2,0,0,""
0x02002162,110,34,2,1,1,"1C016"
0x020021d0,46,14,2,1,0,""
0x020021fe,492,166,3,6,0,""
0x020023ea,16,7,4,1,0,""
0x020023fa,482,170,2,4,0,""
0x020025dc,56,19,25,2,0,""
0x02002614,150,55,11,1,0,""
0x020026aa,38,16,1,0,0,""
0x020026d0,108,39,1,1,0,""
0x0200273c,1134,355,1,0,0,""
0x02002baa,1360,470,1,4,0,""
0x020030fa,22,10,3,1,0,""
0x02003110,232,77,1,4,0,""
0x020031f8,26,7,1,0,0,""
0x02003212,44,13,2,2,0,""
0x0200323e,124,39,1,5,0,""
0x020032ba,60,24,11,0,0,""
0x020032f6,174,57,3,4,0,""
0x020033a4,34,9,2,1,0,""
0x020033c6,524,179,3,6,0,""
0x020035d2,20,9,3,0,0,""
0x020035e6,16,8,15,0,0,""
0x020035f6,286,103,3,5,0,""
0x02003714,26,8,12,0,0,""
0x0200372e,66,30,5,0,0,""
0x02003770,152,45,3,4,0,""
0x02003808,20,9,13,1,0,""
0x0200381c,18,8,2,0,0,""
0x0200382e,446,148,10,5,0,""
0x020039ec,38,12,11,1,0,""
0x02003a12,136,45,4,2,0,""
0x02003a9a,20,9,14,1,0,""
0x02003aae,38,13,1,0,0,""
0x02003ad4,16,5,1,0,0,""
0x02003ae4,24,8,8,0,0,""
0x02003afc,186,60,14,3,0,""
0x02003bb6,38,13,3,0,0,""
0x02003bdc,94,31,1,0,0,""
0x02003c3a,16,5,1,0,0,""
0x02003c4a,76,25,2,0,0,""
0x02003c96,180,63,8,5,0,""
0x02003d4a,42,13,1,0,0,""
0x02003d74,214,76,1,4,0,""
0x02003e4a,42,13,2,0,0,""
0x02003e74,146,49,8,3,0,""
0x02003f06,66,22,1,0,0,""
0x02003f48,16,5,1,0,0,""
0x02003f58,188,60,10,3,0,""
0x02004014,84,29,1,0,0,""
0x02004068,16,5,1,0,0,""
0x02004078,188,60,8,3,0,""
0x02004134,32,13,2,4,0,""
0x02004154,28,9,1,0,0,""
0x02004170,156,53,6,5,0,""
0x0200420c,34,14,1,4,0,""
0x0200422e,34,14,5,2,0,""
0x02004250,34,14,1,4,0,""
0x02004272,260,78,2,0,0,""
0x02004376,1116,351,1,19,0,""
0x020047d2,3684,1186,0,48,0,""
0x02005636,60,21,0,1,0,""
0x02005672,30,10,3,0,0,""
